,interest_name,audience
6003130781036,Spanish wine,3693170
6002984425520,Hops,7140380
6003407298735,Pale ale,2413840
6003051172216,Non-alcoholic beverage,29134680
6003240944776,Ribs (food),12737840
6003716731307,Roasting,65167290
6003178081566,Cassava,19634410
6003856272360,Raisin,39001700
6003278978380,Single malt whisky,4281650
6003213899933,costa,1107210
6003456578144,Prosecco,9239310
6003446581680,Bombay Sapphire,2136355
6003252229111,Soup,104045430
6003174235455,Drinking water,53095430
6003192948766,Kit Kat,22687790
6003350030127,Big Mac,28099720
6003348680381,Garlic,90854480
6002868278822,Chili pepper,103119850
6003096716416,Gazpacho,1128800
6003579275918,Bacon,51526760
6003398541003,Cheeseburger,20891749
6002926053162,Sashimi,18459620
6003252403167,Subway (restaurant),64476000
6003063290081,Rockstar (drink),10573110
6003396982135,Oat,16730980
6006874774496,Vegetable oil,26756570
6003206483286,Milkshake,43812930
6003091416670,Tic Tac,5544570
6003681037890,Wafer,5487910
6003464096003,Carp,4221950
6003682410690,Argania,11097920
6003198259801,M&M's,27274010
6003780109252,Bourbon whiskey,21972790
6003290616841,Coffeemaker,19114900
6003169632036,Drinking,31053950
6003401844364,Ben & Jerry's,9293780
6003044614245,Curry,52348310
6003355520832,Egg (food),84066620
6003443983731,Tuna,32474420
6003674086262,Carrot,54807470
6003379479337,Sesame,31155700
6003398306603,Almond,62634450
6003451346071,Cerveza,619552
6002960316720,Chorizo,16952370
6003409361877,Cherry,36102290
6003273088108,Chocolate brownie,39169120
6003103621717,Jack Daniel's,26103040
6003537453063,India Pale Ale,4129990
6003108711435,Pineapple,63602840
6003583347473,Hummus,10289090
6003496319280,Pincho,2508230
6004144273609,Empanada,17193750
6003117735068,Matcha,25868580
6003312965359,Ground meat,24686510
6003142329790,Chicha,8067400
6003273123243,Salmon,45275280
6003701876691,Cheddar cheese,30824980
6003114427300,Mushroom,60556690
6003198705401,Lentil,7636070
6003421539206,Acorn,6176670
6003301915421,T.G.I. Friday's,7407630
6003657492838,Waffle,36319170
6003362102460,Adansonia,0
6003397678147,Wendy's,40448550
6003019452529,Buttercream,10232650
6002990070723,Chicken (food),144379690
6003276627151,Tiki bar,2086600
6004121108389,Sprinkles,55385750
6003143215961,Apple juice,14586030
6003146140826,Maple,10816340
6003217187476,rose wine,3857490
6003012392397,Guacamole,9468010
6003280951243,Hot dog,37523130
6003399693543,White Castle (restaurant),17771460
6002898253762,Theobroma cacao,14494550
6003284040369,Bonito,21854060
6003118015934,Sink,74170640
6003116291226,Starch,26696800
6003420087231,Chipotle Mexican Grill,23492760
6003198895001,Sorghum,4697500
