iso_country,GDP
ARG,12716.2242
AUS,58868.48063
BRA,8592.210218
CHL,13761.37447
ESP,28087.89792
FRA,38832.0242
GBR,47491.59456
IDN,3892.421662
JPN,36043.7844
KOR,31640.21463
MEX,10013.72425
MYS,11114.54271
RUS,9958.469727
SGP,61386.23615
TUR,11935.38787
USA,60698.0113
