,id,audience
Living room,6003293328579,101410210
Radish,6003313577363,12093210
Tomato,6003472561087,74934150
Dog meat,6003107927178,2163390
Peanut,6003381931218,50770180
Tequila,6003417781439,75899650
Bibimbap,6003110322472,2277060
Chopsticks,6003236443526,11612640
Roasting,6003716731307,65167290
Orange (fruit),6003236350098,123162120
Smoking (cooking),6003252826699,25027210
Herb,6003059496932,163158860
Tango (drink),6003754814491,2484310
Gravy,6003379162805,17734800
Cheesecake,6003392747731,48048650
Cereal,6004206444789,115327130
Coffeemaker,6003290616841,19114900
Essential oil,6003481765669,89056750
Apple juice,6003143215961,14586030
Paste (food),6003351896888,39058390
Sausage,6002968797092,63112690
Seasoning,6004161653624,33788160
Cherry,6003409361877,36102290
Cider,6003023250556,17548350
Bubble tea,6003107615435,26449630
Pancake,6003208054847,54055330
Garlic,6003348680381,90854480
Udon,6004061641348,4237650
Yogurt,6005173031630,76797050
Lipton,6003340527196,11266850
Wheat,6003148744949,81726960
Tonkatsu,6003450582842,2319830
Food industry,6003272376810,74435910
Ribs (food),6003240944776,12737840
Caramel,6002975177459,49056810
Soy sauce,6003193258966,30152940
Pie,6002923615921,65095790
Litre,6003146248626,79091070
Waffle,6003657492838,36319170
Salt,6003712367146,95253610
Microbrewery,6003403681200,18511160
Pineapple,6003108711435,63602840
Piña colada,6002919249755,5938890
Dairy product,6003012654197,93616240
Gourmet,6003649084438,103631830
Sink,6003118015934,74170640
Hops,6002984425520,7140380
Torta,6003271957771,20341920
Middle Eastern cuisine,6003200340482,33447615
Grapefruit,6003423220519,20122760
Nescafé,6003276975799,62120390
Stir frying,6003712725553,19264890
Syrup,6003211389667,21243650
Mexican cuisine,6002964239317,120674120
Barbecue grill,6002998081644,40189490
Taro,6002967373974,19338580
Food truck,6003148779436,45745660
Pudding,6003170214485,21363350
Caffeine,6003377732777,48199380
Glutinous rice,6003117722468,17666340
Scotch whisky,6003133619014,25293280
Nut (fruit),6003719026713,101216050
Mozzarella,6003382727763,29432060
Maple,6003146140826,10816340
Pale lager,6003246631413,32314650
Dunkin' Donuts,6003504016795,11457530
Qing dynasty,6015792271818,41621130
Tuna,6003443983731,32474420
Hendrick's Gin,6004177555295,2262257
Heineken Premium Light,6003439417975,21073120
Blueberry,6003057332156,39238000
Greek cuisine,6003306415421,37063410
Matcha,6003117735068,25868580
Bamboo,6003339478656,67349110
Treacle,6003436470570,0
Trịnh lords,6004786706530,0
Vietnamese lotus tea,6003162175885,34925860
Vietnamese iced coffee,6002891019710,34949310
Absolut Vodka,6003309497853,8633050
Smokehouse,6003349977460,8117210
Cucumber,6003290343725,30661470
Drinking water,6003174235455,53095430
Parsley,6003632213583,10431200
Winery,6003259680957,31592140
Milkshake,6003206483286,43812930
Gelato,6004158042095,18157110
Pocky,6003481199680,8361530
Broth,6003655076878,15414940
Fanta,6003673287662,12638900
Iced coffee,6002984431723,13666303
Domino's Pizza,6002963547646,56539080
Tofu,6003284803711,18908100
Almond,6003398306603,62634450
Sprite (soft drink),6003262656049,11022870
Granola,6003279132180,10146380
Natural foods,6003780190452,96753785
Coffea,6003649976890,74830930
Macaroni,6002971905794,21169730
Sashimi,6002926053162,18459620
Coffee Time,6002964580317,4128460
Twist (dance),6003435766363,5496300
Macaroon,6003345363821,4278310
Iced tea,6003281163823,16296650
Papaya,6002867925910,39405120
Steaming,6003253446511,17682590
