"destination","origin","iso_d","iso_o","col","csl","cnl","prox1","lp1","prox2","lp2","cl","cle","contig","comlang_off","comlang_ethno","dist","distcap","distw","distwces","shared_hist","area_d","pop_d","area_o","pop_o","GDP_o","GDP_d","GDP_percapita_o","GDP_percapita_d","m_stock","m_flow_sd_drop_neg","m_flow_sd_rev_neg","m_flow_mig_rate","m_flow_da_min_open","m_flow_da_min_closed","m_flow_da_pb_closed","CS_wvs","CS_euc_wvs","CS_foursquare","CS_euc_foursquare","CS_symm","CS_nonsymm_food_o","CS_nonsymm_food_d","origin_Argentina","origin_Australia","origin_Brazil","origin_Chile","origin_France","origin_Great.Britain","origin_Indonesia","origin_Japan","origin_Malaysia","origin_Mexico","origin_Russia","origin_Singapore","origin_South.Korea","origin_Spain","origin_Turkey","origin_United.States","destination_Argentina","destination_Australia","destination_Brazil","destination_Chile","destination_France","destination_Great.Britain","destination_Indonesia","destination_Japan","destination_Malaysia","destination_Mexico","destination_Russia","destination_Singapore","destination_South.Korea","destination_Spain","destination_Turkey","destination_United.States","log10_m_flow_da_pb_closed","log10_m_stock","log10_pop_o","log10_pop_d","log10_area_o","log10_area_d","log10_GDP_o","log10_GDP_d","log10_GDP_percapita_o","log10_GDP_percapita_d","log10_distwces","log10_distcap"
"Argentina","Singapore","ARG","SGP",0,0,0,0.0599999986588955,0.46700793504715,0.0918117761611938,0.822641015052795,0.107583418488503,0.108327984809875,0,0,0,15891.11,15891.11,16120.1,16110.5,0,2766889,44780675,646,5804343,338646194792.89,437813398163.19,61386.23615,12716.2242,3,1,1,1,1,1,2,-0.913184903399715,0.835245501694618,-0.689953871005846,0.349549801599435,-0.20966715156495,-0.652881089034862,0.145924051984777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029995663981,0.477121254719662,6.76375306858407,7.65109063561563,2.81023251799508,6.44199173678662,11.5297462000081,11.641289047911,4.78807100576346,4.10435817636482,4.20710901924425,4.20115423389953
"Argentina","South Korea","ARG","KOR",0,0,0,0,0,0,0,0,0,0,0,0,19447.35,19447.35,19146.65,19137.75,0,2766889,44780675,99484,51225321,1482760164322.84,437813398163.19,31640.21463,12716.2242,8297,79,79,1672,420,486,1473,-0.979152404394633,0.446275642212012,-0.855359607448909,0.39940835681422,-0.201422842637889,-0.498278934989223,-0.524285575321715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16820274684263,3.91892109009134,7.70948468855868,7.65109063561563,4.99775323883155,6.44199173678662,12.1710709098048,11.641289047911,4.50023942085309,4.10435817636482,4.28189087701324,4.2888604304028
"Argentina","Spain","ARG","ESP",1,0.980139851570129,0.854458212852478,0,0,0,0,0.873491883277893,0.872616350650787,0,1,1,10065.85,10065.85,10079.66,10055.9,1,2766889,44780675,505954,46736782,1572012697558.03,437813398163.19,28087.89792,12716.2242,99770,957,957,20091,6435,5517,49533,0.110066560854012,0.554553890051585,0.796691270902396,0.79735379895766,0.163591513497522,0.169608812283336,0.0354324649554427,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69489463212116,4.99899997221832,7.66965880630706,7.65109063561563,5.70411103372855,6.44199173678662,12.1964560496278,11.641289047911,4.44851923810137,4.10435817636482,4.00242094589666,4.00285045430892
"Argentina","Turkey","ARG","TUR",0,0.0015999999595806,0,0,0,0.10965658724308,0.9825319647789,0.128493651747704,0.129382938146591,0,0,0,12268.67,12502.27,12474.38,12462.04,0,2766889,44780675,780576,83429607,1261946143648.6,437813398163.19,11935.38787,12716.2242,647,7,7,131,21,1,133,0.0832160543605939,0.748877567483017,-0.587302684249495,0.503843854015021,-0.0986834950466766,-0.191948440031198,-0.724250234312797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12385164096709,2.8109042806687,7.92132019781931,7.65109063561563,5.89241519410408,6.44199173678662,12.1010408208231,11.641289047911,4.0768365370473,4.10435817636482,4.09558914089655,4.09698887372563
"Argentina","United States","ARG","USA",0,0.159409925341606,0.144000008702278,0.212500005960464,1.6539865732193,0.110946655273438,0.994091093540192,0.255284577608109,0.256054759025574,0,0,1,8542.694,8403.226,8678.352,8608.022,0,2766889,44780675,9529106,329064917,18349108235210.1,437813398163.19,60698.0113,12716.2242,5226,50,50,1053,4638,2,24920,0.167930231286253,0.551371401740003,0.877399567966677,0.759301792526365,-0.125806142574196,-0.284854077738873,-0.0306457620687093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39654803798713,3.71816940539131,8.51728158279426,7.65109063561563,6.97905215798575,6.44199173678662,13.2636149624334,11.641289047911,4.78317446215294,4.10435817636482,3.93490336827426,3.92444604380421
"Australia","Argentina","AUS","ARG",0,0.0205841604620218,0.0007999999797903,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.153625071048737,0.154682755470276,0,0,0,11801.36,11733.88,12044.57,12018.27,0,7686848,25203200,2766889,44780675,437813398163.19,1450499018770.09,12716.2242,58868.48063,17584,2391,2391,3179,2940,2900,5018,0.257921271976687,0.361126578581271,0.100533369078538,0.659927539222365,-0.114336106826869,0.318566522267763,-0.255347503615535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70053065697859,4.24511767507942,7.65109063561563,7.40145568578599,6.44199173678662,6.88574829339997,11.641289047911,12.1615174393483,4.10435817636482,4.76988282700425,4.07984195655798,4.06944164246184
"Australia","Brazil","AUS","BRA",0,0.00159951997920871,0.00039999998989515,0.25,1.94586646556854,0.0971352532505989,0.870339751243591,0.114175833761692,0.11496327072382,0,0,0,13371.76,14070.8,14046.75,13983.36,0,7686848,25203200,8511920,211049519,2364445788869.69,1450499018770.09,8592.210218,58868.48063,42553,16532,16532,5490,17391,11726,15625,-0.419538333554789,0.298629618083487,-0.454959088886378,0.438370849228185,-0.18316629866617,0.202120237222094,-0.50815463470922,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19382002601611,4.6289301833987,8.32438436669709,7.40145568578599,6.93002753321674,6.88574829339997,12.3737293611238,12.1615174393483,3.93410489398404,4.76988282700425,4.14561153865782,4.14831879009349
"Australia","Chile","AUS","CHL",0,0.0197999998927116,0,0.25,1.94586646556854,0.130525469779968,1.16951882839203,0.152947425842285,0.154005959630013,0,0,0,11353.72,11326.56,11611.42,11568.01,0,7686848,25203200,756945,18952035,285037020831.58,1450499018770.09,13761.37447,58868.48063,33708,4137,4137,6185,5487,11344,14444,-0.118477853928043,0.32912568748119,-0.199500150035042,0.573362006142864,-0.216939458669447,0.0992235247428488,-0.408967932826155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15968747975479,4.5277329852492,7.27765584975633,7.40145568578599,5.8790643245935,6.88574829339997,11.4549012701794,12.1615174393483,4.13866181289117,4.76988282700425,4.06325865537775,4.05409802991082
"Australia","France","AUS","FRA",0,0.351933389902115,0.000499959976878017,0.25,1.94586646556854,0.141529113054276,1.26811242103577,0.166258364915848,0.167405545711517,0,0,0,16975.46,16938.09,16513.02,16464.9,0,7686848,25203200,547026,65129731,2971919320115.83,1450499018770.09,38832.0242,58868.48063,40734,4800,4800,7514,6368,3758,10916,0.995928068089759,0.758070064181528,0.5710644881986,0.718889154538317,-0.181528839048234,0.346577605753629,-0.231630611118122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03806352699786,4.60995705905803,7.81377928444682,7.40145568578599,5.73800796872499,6.88574829339997,12.4730370152823,12.1615174393483,4.58919002963895,4.76988282700425,4.21655909735706,4.22886443614655
"Australia","Great Britain","AUS","GBR",1,0.960379421710968,0.643999993801117,0,0,0,0,0.69055700302124,0.68841540813446,0,1,1,17011.27,17001.95,16602.27,16563.96,1,7686848,25203200,244110,67530161,2913556871434.81,1450499018770.09,47491.59456,58868.48063,1262205,79090,79090,247113,111006,10728,177046,0.997689053875925,0.953363091358715,0.838583436869571,0.761153344695226,0.327278658063354,0.59776337892136,0.279978200203838,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24808611919042,6.1011298962223,7.82949778513153,7.40145568578599,5.38758557071528,6.88574829339997,12.464423499759,12.1615174393483,4.67661675153576,4.76988282700425,4.21916417306191,4.23049873465314
"Australia","Indonesia","AUS","IDN",0,0,0,0,0,0.0664010643959045,0.594958961009979,0.0778075903654099,0.0783460810780525,0,0,0,5511.902,5410.656,5077.672,4883.979,0,7686848,25203200,1933658,270625567,1204457195676.25,1450499018770.09,3892.421662,58868.48063,87275,11853,11853,15778,14393,21307,31989,-0.734894794984597,0,-0.562205050325274,0.374071167431455,-0.421241633495094,0.340406762247939,-0.747322725034824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50500066392687,4.94088985748622,8.43236882360862,7.40145568578599,6.28637966424184,6.88574829339997,12.0807913705345,12.1615174393483,3.59021988081537,4.76988282700425,3.68877378790926,3.73324992313035
